,Symbol,Data_Found,Price,Short_MA,Long_MA,RSI,RSI_Signal,ROC,MACD,Signal_Line,Stoch_K,Stoch_D,Bandwidth,Hist_Low_BW,Volume,Vol_Short,Vol_Long,Status,setup_type,Summary,Trend_OK,RSI_OK,Squeeze_OK,MACD_OK,vol_rising,Issue
614,BOROSCI,True,124.29,131.44,143.73,38.48,42.3,-0.82,-2.81,-2.74,27.77,10.72,10.96,4.56,34673.0,34955.595319999644,55680.173482598235,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
615,BOSCHLTD,True,36840.0,37369.15,35971.49,49.64,44.7,2.99,-266.05,-376.29,73.89,66.3,4.76,3.31,15713.0,18186.725356934767,20264.69166066426,FAIL,NONE,Downtrend | No Squeeze | Vol Trend Weak,False,True,False,True,False,
616,BOSTONBIO,False,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Data
617,BPAGRI,False,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Data
618,BPCAP,False,,,,,,,,,,,,,,,,,,,,,,,,137463044
619,BPCL,True,354.9,350.01,322.44,39.75,38.18,-0.27,1.47,3.56,15.11,23.26,7.82,4.35,5591583.0,5730562.027881194,6895623.730467454,FAIL,NONE,Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,True,False,False,False,False,
620,BPL,True,55.5,68.94,81.59,27.06,18.61,-8.69,-4.29,-3.76,30.56,12.27,30.45,6.14,559223.0,332301.84796945367,150665.77384533337,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
621,BPLPHARMA,True,1101.0,1186.1,1284.75,48.2,51.85,0.71,-20.08,-23.21,40.92,38.01,10.53,6.88,338.0,644.4714130583259,872.0701543196683,FAIL,NONE,Downtrend | No Squeeze | Vol Trend Weak,False,True,False,True,False,
622,BRADYM,True,895.0,1050.78,1297.99,46.78,40.7,-2.32,-44.04,-51.06,55.8,57.25,18.21,8.18,203.0,162.98390656123354,316.27421903838405,FAIL,NONE,Downtrend | Low RSI | No Squeeze | Vol Trend Weak,False,False,False,True,False,
623,BRAHMINFRA,True,112.1,101.37,82.04,45.27,45.5,6.48,2.2,2.44,58.91,55.67,19.83,8.3,17387.0,41584.73752202407,50064.06571717274,FAIL,NONE,Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,True,False,False,False,False,
624,BRAWN,True,20.99,20.73,19.98,38.54,41.16,0.91,-0.32,-0.22,59.74,27.77,26.48,10.58,130.0,632.694028460937,719.6905038661649,FAIL,NONE,Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,True,False,False,False,False,
625,BRIDGESE,True,13.56,13.28,11.8,56.51,45.24,3.51,-0.05,-0.1,90.91,87.55,6.97,4.62,179129.0,113464.9962298633,103370.33204944136,MATCH,Momentum Play,READY! Perfect Setup,True,True,False,True,True,
626,BRIGADE,True,855.1,933.82,1015.49,29.76,29.18,-4.9,-24.79,-20.92,17.38,21.2,13.14,6.95,1039850.0,571630.1522803963,372896.0992538437,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
627,BRIGHOTEL,False,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Data
628,BRIGHTBR,True,272.0,303.64,330.3,40.51,38.02,-4.12,-10.52,-10.69,27.31,34.85,16.5,6.28,752.0,1449.1930090998922,2376.1551783035534,FAIL,NONE,Downtrend | Low RSI | No Squeeze | Vol Trend Weak,False,False,False,True,False,
629,BRIJLEAS,True,12.67,9.3,9.46,79.27,54.36,38.47,0.31,-0.04,100.0,81.22,43.32,7.49,47644.0,25971.704053409507,12726.652580420887,FAIL,NONE,Downtrend | No Squeeze,False,True,False,True,True,
630,BRIPORT,False,,,,,,,,,,,,,,,,,,,,,,,,138095108
631,BRITANNIA,True,5887.0,5887.03,5624.7,51.05,44.87,0.34,-8.95,-17.97,55.76,65.59,2.56,2.56,174531.0,213308.56739170835,311523.0299440285,FAIL,NONE,Downtrend | Vol Trend Weak,False,True,True,True,False,
632,BRNL,True,22.72,23.57,26.69,31.43,39.84,-6.73,-0.25,0.05,18.53,7.52,14.64,6.75,139849.0,112867.63175976448,139643.07245231193,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
633,BROOKS,True,99.0,112.35,130.51,43.33,42.55,-0.93,-4.26,-4.64,36.14,19.6,14.44,8.17,43075.0,37752.42729123257,37823.99357471174,FAIL,NONE,Downtrend | Low RSI | No Squeeze | Vol Trend Weak,False,False,False,True,False,
634,BRPL,True,106.15,112.66,110.01,15.43,25.7,-5.43,-1.83,-1.08,16.58,14.76,13.81,5.23,3335.0,4138.513355771862,6370.201067236259,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
635,BSE,True,2700.0,2635.59,2360.05,32.96,55.03,-4.95,53.72,85.24,21.21,28.71,8.52,8.16,7777695.0,5260199.050419383,4619218.733515635,MATCH,Squeeze Play,READY! Perfect Setup,True,False,True,False,True,
636,BSELALGO,True,4.92,6.08,7.65,15.28,23.95,-12.14,-0.28,-0.22,32.74,22.55,20.58,3.63,267759.0,133347.8501330751,89331.46823737347,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
637,BSHSL,True,97.0,116.31,131.22,15.35,16.79,-11.16,-5.71,-4.85,13.03,9.45,23.62,4.83,18386.0,20362.483822534614,16357.522973179399,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
638,BSL,True,160.0,177.45,180.57,18.63,13.85,-8.84,-6.19,-3.29,11.12,10.31,29.6,7.25,10126.0,13548.450527946501,12253.889428824656,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
639,BSLSENETFG,True,84.85,84.01,81.56,53.93,61.78,-0.85,0.43,0.55,19.75,28.04,2.59,2.59,0.0,65.76953922201211,147.51245633884818,MATCH,Squeeze Play,READY! Perfect Setup,True,True,True,False,False,
640,BSOFT,True,430.75,388.03,416.25,70.58,62.14,13.36,14.13,9.73,82.79,82.48,19.95,4.44,2319951.0,3446466.0228682286,2822508.2897411594,FAIL,NONE,Downtrend | No Squeeze,False,True,False,True,True,
641,BTML,True,8.38,8.52,8.88,46.33,49.49,-1.87,-0.02,-0.0,15.94,21.26,13.01,7.28,91830.0,333064.5553221516,359639.2819460809,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
642,BTTL,True,39.7,41.58,44.54,50.36,57.03,-0.1,0.15,0.03,33.75,51.79,11.69,5.43,458.0,12397.701759309493,19338.471825925037,FAIL,NONE,Downtrend | No Squeeze | Vol Trend Weak,False,True,False,True,False,
643,BUTTERFLY,True,663.25,708.68,716.62,24.25,31.69,-5.48,-13.99,-7.98,33.26,12.87,12.13,4.59,5925.0,9512.703916179453,11563.824947269273,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
644,BVCL,True,40.5,45.17,45.18,43.99,39.78,-5.37,-1.24,-1.22,15.55,42.02,14.68,5.69,892.0,1395.885399597264,1996.8214345028312,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
645,BYKE,True,52.0,60.68,71.25,27.21,29.79,-8.5,-2.8,-2.39,17.18,15.56,27.2,6.62,59423.0,82866.32099236052,100658.77369141571,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
646,CALCOM,True,109.45,111.64,107.07,24.84,36.49,-5.8,-1.05,1.23,24.77,15.97,28.24,7.45,7008.0,6425.389429540373,9419.721439556504,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
647,CALSOFT,True,16.42,16.7,14.91,50.0,46.6,-2.03,-0.16,-0.16,23.35,36.98,6.81,6.81,30709.0,21899.868944134956,28739.609486607438,FAIL,NONE,Downtrend | MACD Wait | Vol Trend Weak,False,True,True,False,False,
648,CALSOFTPP,False,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Data
649,CAMEXLTD,True,31.5,35.81,41.45,32.49,32.99,-4.75,-1.28,-1.12,29.53,27.44,19.47,8.17,4055.0,1647.7562700821968,1087.9985023772244,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
650,CAMLINFINE,True,149.55,179.03,194.82,42.34,37.03,-1.66,-9.08,-9.22,30.44,13.54,18.26,10.54,238601.0,237610.05434935208,389362.0614848087,FAIL,NONE,Downtrend | Low RSI | No Squeeze | Vol Trend Weak,False,False,False,True,False,
651,CAMPUS,True,271.3,273.63,274.89,58.01,49.74,-0.88,-1.01,-1.07,71.09,65.63,7.93,3.99,213806.0,221321.41989923775,290676.31149108737,FAIL,NONE,Downtrend | No Squeeze | Vol Trend Weak,False,True,False,True,False,
652,CAMS,True,750.9,776.54,805.23,37.72,46.64,-3.59,-3.53,0.04,22.37,21.24,6.58,3.65,1298056.0,1916309.1371571212,1862315.532471776,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
653,CANBK,True,145.99,137.83,117.94,42.99,59.17,-1.82,2.85,4.18,37.25,27.39,7.62,5.22,30185124.0,28577171.451521862,29218306.430890895,FAIL,NONE,Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,True,False,False,False,False,
654,CANDOUR,True,148.2,135.36,108.24,63.79,61.52,-3.14,3.61,4.46,40.24,59.61,12.19,6.22,37853.0,30294.333343548256,46979.47942371189,FAIL,NONE,No Squeeze | MACD Wait | Vol Trend Weak,True,True,False,False,False,
655,CANFINHOME,True,908.3,858.94,793.82,58.76,54.48,2.83,13.58,14.62,55.28,52.11,5.18,4.49,268473.0,391346.5656055194,331804.13009029336,FAIL,NONE,No Squeeze | MACD Wait,True,True,False,False,True,
656,CANHLIFE,False,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Data
657,CANTABIL,True,263.35,253.64,255.71,59.17,50.83,4.36,1.66,0.09,67.08,68.72,8.36,4.34,658441.0,570907.4793343544,334888.424625461,FAIL,NONE,Downtrend | No Squeeze,False,True,False,True,True,
658,CAPACITE,True,258.7,281.83,318.52,21.98,33.08,-6.15,-6.74,-3.74,22.6,10.5,20.3,7.04,407991.0,309313.85639323364,281552.98171273264,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
659,CAPFIN,False,,,,,,,,,,,,,,,,,,,,,,,,138034692
660,CAPILLARY,False,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Data
661,CAPINVIT,True,76.02,76.95,82.22,39.12,29.71,-0.18,-0.33,-0.23,31.48,21.6,6.3,1.98,8697.0,13749.067154101178,18639.509482327972,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
662,CAPITALSFB,True,268.95,278.0,284.37,36.31,53.03,-3.29,-1.61,-1.09,19.3,22.93,5.93,4.68,26929.0,20878.912921647257,25503.962165627603,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
663,CAPLIPOINT,True,1902.0,1982.92,2073.42,44.77,46.22,-0.16,-14.5,-21.97,28.45,66.72,4.93,3.71,115359.0,74977.69200280873,59031.1501225565,FAIL,NONE,Downtrend | Low RSI | No Squeeze,False,False,False,True,True,
664,CAPPIPES,True,11.75,12.78,14.4,15.69,22.16,-3.61,-0.28,-0.26,26.92,17.67,8.67,3.95,79902.0,64365.11463587972,66813.78879733419,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
665,CAPRICORN,False,,,,,,,,,,,,,,,,,,,,,,,,131115268
666,CAPRIHANS,True,86.8,108.53,127.47,24.4,14.15,-12.1,-7.42,-6.86,33.08,23.96,28.69,3.68,5585.0,6529.816364223818,5656.294173454209,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
667,CAPRO,True,59.41,50.94,47.12,72.46,81.28,14.12,4.16,3.88,56.41,57.62,52.05,8.03,31.0,1423.1674527421935,2217.0304114682203,FAIL,NONE,No Squeeze | Vol Trend Weak,True,True,False,True,False,
668,CAPTRUST,True,11.74,21.16,39.24,10.64,4.2,-18.64,-3.42,-3.44,11.46,11.69,95.99,6.87,71177.0,199647.42246022052,271899.1158345833,FAIL,NONE,Downtrend | Low RSI | No Squeeze | Vol Trend Weak,False,False,False,True,False,
669,CARBORUNIV,True,877.85,891.29,978.1,58.76,46.93,5.11,-6.53,-9.77,53.93,43.11,10.8,4.51,230180.0,204384.11982513362,435307.701332572,FAIL,NONE,Downtrend | No Squeeze | Vol Trend Weak,False,True,False,True,False,
670,CARERATING,True,1550.1,1555.12,1538.66,54.56,42.91,2.67,-7.23,-11.81,90.85,89.78,8.1,6.51,54966.0,72223.78733921365,62287.47557590179,FAIL,NONE,Downtrend | No Squeeze,False,True,False,True,True,
671,CARNATIN,False,,,,,,,,,,,,,,,,,,,,,,,,135835908
672,CARRARO,True,516.9,514.24,484.32,40.46,55.63,-5.1,6.82,11.83,19.66,30.75,12.32,7.59,122344.0,125142.23461734428,163013.2154022395,FAIL,NONE,Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,True,False,False,False,False,
673,CARTRADE,True,2731.4,2836.68,2261.79,30.4,43.3,-11.65,2.25,60.09,21.58,15.33,17.13,4.06,717276.0,457672.11875922413,415927.56445794797,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
674,CARYSIL,True,934.0,952.83,857.12,32.98,42.65,-2.59,-3.11,9.33,21.66,12.13,15.28,8.43,82957.0,86775.56310538019,127457.80895430739,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
675,CASPIAN,True,6.69,7.23,7.88,25.29,34.19,-6.3,-0.14,-0.11,21.57,19.41,9.37,3.75,48008.0,32383.46701038467,32038.37950806543,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
676,CASTROLIND,True,188.65,195.1,204.48,43.32,47.94,-1.56,-1.45,-1.48,35.14,33.7,2.87,2.26,1338285.0,1115034.292383827,1086729.0479813016,FAIL,NONE,Downtrend | Low RSI | No Squeeze,False,False,False,True,True,
677,CATVISION,True,21.58,21.0,21.55,18.52,46.6,-1.37,0.19,0.4,17.54,14.96,42.56,6.58,4831.0,5787.343211626987,26379.61169572801,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
678,CCCL,True,17.84,20.61,19.37,20.81,28.1,-9.49,-1.03,-0.95,23.4,15.63,27.38,10.85,14664.0,21145.22705700669,33891.71411644734,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
679,CCHHL,True,15.57,16.48,17.43,31.64,36.78,-0.95,-0.3,-0.27,36.91,23.25,8.13,2.95,28744.0,21472.66345902459,23449.110154961694,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
680,CCL,True,976.0,948.01,852.91,38.96,36.98,-0.74,6.67,17.79,39.72,21.06,13.29,4.39,309235.0,264256.0820506545,428716.91757112095,FAIL,NONE,Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,True,False,False,False,False,
681,CCLINTER,True,26.01,29.61,29.82,29.24,40.89,-11.53,-0.65,-0.33,10.22,12.86,16.19,7.75,4942.0,2655.8187282359595,2285.02977584893,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
682,CDG,False,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Data
683,CDSL,True,1518.0,1581.49,1577.62,30.52,41.11,-3.56,-15.78,-4.05,27.68,17.14,10.25,6.64,2102554.0,1653785.184011084,1664168.387818515,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
684,CEATLTD,True,3821.1,3822.46,3544.63,43.26,37.49,-1.34,-7.27,7.45,39.13,34.52,7.35,6.21,97124.0,97928.3174534656,137558.5574295813,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
685,CEEJAY,False,,,,,,,,,,,,,,,,,,,,,,,,135881988
686,CEENIK,True,334.25,379.38,495.71,36.72,31.06,0.03,-19.1,-19.7,31.28,30.84,29.22,8.1,254.0,515.3207657093928,686.4462947451826,FAIL,NONE,Downtrend | Low RSI | No Squeeze | Vol Trend Weak,False,False,False,True,False,
687,CEETAIN,True,35.5,38.43,43.19,32.05,33.52,0.31,-1.26,-1.18,23.47,17.43,23.01,6.82,457.0,695.2027407569956,1023.7343797296102,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
688,CEIGALL,True,227.5,247.2,267.78,22.07,29.96,-4.49,-5.49,-4.64,18.64,11.45,10.07,5.55,159546.0,202263.75431550338,191440.81809406783,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
689,CEINSYSTECH,True,920.0,1239.0,1493.44,22.87,26.88,-13.78,-108.23,-109.76,19.36,27.99,42.6,9.02,96286.0,117620.81395031785,114678.80442407544,FAIL,NONE,Downtrend | Low RSI | No Squeeze,False,False,False,True,True,
690,CELEBRITY,True,8.8,10.34,12.13,24.71,25.06,-13.64,-0.47,-0.41,23.18,19.41,24.13,5.58,17836.0,31882.539086112312,43019.720692234216,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
691,CELLA,True,14.07,14.41,14.01,49.53,47.18,-2.36,-0.2,-0.2,44.88,27.15,9.0,9.0,1658.0,2259.5512665361066,3220.544340974813,FAIL,NONE,Downtrend | MACD Wait | Vol Trend Weak,False,True,True,False,False,
692,CELLO,True,540.0,597.78,620.07,20.47,27.16,-8.37,-16.91,-11.01,8.04,4.94,16.1,7.06,391087.0,191204.40118479548,182572.51564993005,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
693,CEMAINFRA,True,4.85,4.77,5.61,53.73,30.41,4.08,-0.08,-0.09,100.0,76.71,23.98,9.73,1116.0,653.2500824289122,981.0822240396203,FAIL,NONE,Downtrend | No Squeeze | Vol Trend Weak,False,True,False,True,False,
694,CEMPRO,True,826.4,811.53,734.25,52.11,50.47,7.07,1.24,1.33,46.7,35.71,11.9,8.31,392929.0,319848.2857913472,345681.36595847184,FAIL,NONE,No Squeeze | MACD Wait | Vol Trend Weak,True,True,False,False,False,
695,CENLUB,True,217.0,265.32,344.06,25.95,41.68,-6.08,-12.73,-11.8,12.59,9.08,21.76,7.71,2812.0,3160.3906661095843,3502.5896188922206,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
696,CENTENKA,True,427.2,462.8,503.21,37.77,48.13,-6.41,-7.83,-4.81,27.48,16.47,10.82,2.75,15856.0,25675.60950610134,16371.893106862008,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
697,CENTEXT,True,21.95,25.48,24.03,25.44,24.92,-10.95,-1.31,-1.09,29.22,9.81,24.3,9.33,14361.0,14476.858760533087,14958.525456489253,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
698,CENTRALBK,True,36.52,37.95,40.5,23.3,41.84,-4.75,-0.44,-0.19,23.64,11.21,8.99,4.89,5583463.0,6483181.889630535,7229836.024035666,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
699,CENTRUM,True,29.69,32.41,33.5,30.45,26.85,1.96,-1.05,-1.05,29.07,26.77,22.2,6.03,130382.0,234008.41252815071,394118.91320455377,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
700,CENTUM,True,2231.0,2441.29,2283.73,22.84,35.03,-7.03,-75.81,-57.5,26.7,9.9,18.74,5.88,56310.0,28748.472323616537,21121.60186212146,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
701,CENTURYPLY,True,798.0,780.33,766.94,55.94,59.14,1.02,8.99,9.02,71.32,68.95,10.13,3.29,50960.0,75907.10324292746,128984.73208675589,FAIL,NONE,No Squeeze | MACD Wait | Vol Trend Weak,True,True,False,False,False,
702,CERA,True,5274.0,5806.58,6285.82,27.74,29.13,-3.53,-159.72,-150.69,8.76,14.1,9.42,2.99,20346.0,16160.948753497816,18906.77860952237,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
703,CEREBRAINT,True,6.84,7.82,7.68,17.48,14.96,-8.19,-0.46,-0.41,22.73,22.81,38.52,6.59,8060.0,11262.127894001707,21348.00837337487,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
704,CESC,True,166.0,170.1,165.32,41.88,47.8,-0.68,-0.37,0.25,6.05,27.51,6.97,5.58,1081461.0,1120620.8150495389,1456222.239744532,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
705,CEWATER,True,392.0,447.29,542.19,39.12,29.46,-4.4,-21.76,-20.82,56.2,20.43,17.8,6.01,922801.0,366683.7879556635,129238.92618703669,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
706,CFEL,True,36.4,46.72,64.35,26.37,24.59,-10.76,-3.23,-2.99,3.39,5.77,38.09,7.06,5761.0,8407.734515243797,12867.873506353048,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
707,CFL,True,51.96,40.33,31.21,76.71,92.0,8.11,4.78,4.93,65.72,74.14,38.43,10.3,10965.0,15502.90754248803,18355.572863982547,FAIL,NONE,No Squeeze | MACD Wait | Vol Trend Weak,True,True,False,False,False,
708,CGCL,True,183.85,191.69,186.22,26.84,29.41,-2.26,-2.58,-1.89,11.19,12.94,9.23,4.1,1685590.0,1166938.153104693,1412081.9192354712,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
709,CGFL,True,32.43,30.16,28.17,38.79,53.11,-1.61,0.48,0.71,52.7,38.07,19.35,3.28,13797.0,18771.979597023183,36789.833327433524,FAIL,NONE,Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,True,False,False,False,False,
710,CGPOWER,True,670.0,709.4,705.76,28.15,17.83,-1.84,-20.73,-18.27,38.49,16.56,19.72,3.58,3283196.0,2577742.620789591,2588645.6296058623,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
711,CGVAK,True,243.5,252.68,273.52,34.6,35.7,1.16,-5.15,-5.3,40.82,26.85,14.64,3.55,2824.0,2513.7173316914173,3193.1901506851036,FAIL,NONE,Downtrend | Low RSI | No Squeeze | Vol Trend Weak,False,False,False,True,False,
712,CHADPAP,False,,,,,,,,,,,,,,,,,,,,,,,,136178180
713,CHALET,True,879.0,918.57,915.65,47.83,50.2,-0.33,-10.08,-12.6,16.49,39.58,4.9,4.78,396243.0,271477.65645019204,212757.2785523233,FAIL,NONE,Downtrend | Low RSI,False,False,True,True,True,
714,CHALLANI,True,24.49,27.27,27.71,36.01,40.51,-5.3,-0.7,-0.54,16.5,25.34,14.96,7.83,475.0,735.8562432606616,1604.7649364537517,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
715,CHAMBLFERT,True,420.3,472.15,523.62,17.73,23.42,-5.91,-15.16,-14.07,19.17,11.41,13.6,4.31,943087.0,837230.6120176049,899133.1737605496,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
716,CHANDNIMACH,True,79.56,77.26,56.44,0.0,13.3,-18.25,0.74,4.91,0.0,0.0,50.89,9.36,9.0,691.6981857879866,13378.124501542568,FAIL,NONE,Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,True,False,False,False,False,
717,CHANDRAP,True,9.65,11.21,12.95,40.59,39.81,1.37,-0.47,-0.54,41.62,50.38,15.76,8.47,41990.0,20858.974241624594,15801.711311755444,FAIL,NONE,Downtrend | Low RSI | No Squeeze,False,False,False,True,True,
718,CHANDRIMA,True,13.12,10.35,6.3,63.04,87.35,-0.15,1.12,1.33,34.62,51.55,32.6,4.38,2765.0,562387.9247701635,2502429.0930652237,FAIL,NONE,No Squeeze | MACD Wait | Vol Trend Weak,True,True,False,False,False,
719,CHARMS,False,,,,,,,,,,,,,,,,,,,,,,,,136019716
720,CHDCHEM,True,5.7,5.64,5.94,49.77,51.26,3.64,0.0,-0.0,72.92,59.83,10.34,8.69,252.0,4654.466282428994,4442.4294965305135,FAIL,NONE,Downtrend | No Squeeze | MACD Wait,False,True,False,False,True,
721,CHECKPOINT,True,113.97,78.84,46.95,100.0,100.0,21.83,10.97,10.02,100.0,100.0,46.66,20.35,78152.0,32098.305216602548,14727.505499173236,FAIL,NONE,No Squeeze,True,True,False,True,True,
722,CHEMBOND,True,159.3,169.76,271.45,35.45,37.69,-2.51,-3.12,-2.6,32.91,31.1,14.45,5.05,4447.0,5835.663101172815,7435.5781514124665,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
723,CHEMBONDCH,False,,,,,,,,,,,,,,,,,,,,,,,,Insufficient Data
724,CHEMCON,True,202.0,229.97,225.57,23.99,29.01,-6.53,-10.68,-9.13,18.26,8.27,23.33,4.19,56545.0,51767.73758815252,78461.25953416649,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
725,CHEMCRUX,True,109.95,115.83,129.73,36.08,32.99,-3.51,-1.79,-1.37,22.46,31.73,10.38,5.22,6409.0,4873.661152894014,6801.246518495525,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
726,CHEMFAB,True,460.05,555.06,704.82,29.1,33.83,-8.16,-22.79,-21.72,0.57,20.5,13.3,6.71,21826.0,11959.078195696082,10837.396515022143,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
727,CHEMIESYNT,False,,,,,,,,,,,,,,,,,,,,,,,,138042884
728,CHEMPLASTS,True,263.1,341.18,405.52,11.35,5.63,-8.76,-28.19,-26.64,10.36,5.24,41.43,5.14,145205.0,101305.99065320147,92200.23651127482,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait,False,False,False,False,True,
729,CHEMTECH,True,85.79,103.83,127.46,19.29,12.35,-11.24,-6.47,-5.76,20.32,10.64,32.21,7.11,16407.0,12790.574200249826,16080.156113879708,FAIL,NONE,Downtrend | Low RSI | No Squeeze | MACD Wait | Vol Trend Weak,False,False,False,False,False,
730,CHENFERRO,True,109.0,119.35,122.99,42.5,32.08,1.73,-4.29,-4.77,36.41,29.06,17.45,5.65,468.0,738.6972470367921,971.6219488310578,FAIL,NONE,Downtrend | Low RSI | No Squeeze | Vol Trend Weak,False,False,False,True,False,
