================================================================================
1. SUMMARY TABLE - Key columns
================================================================================
            date  starting_capital      sold    bought  remaining  portfolio_value  gain_percentage
74    2021-04-16          55050.30      0.00      0.00   55050.30         83543.25           -16.46
75    2021-04-19          55050.30   4444.00  19710.55   39783.75         83680.75           -16.32
76    2021-04-20          39783.75      0.00      0.00   39783.75         83629.45           -16.37
77    2021-04-21          39783.75      0.00      0.00   39783.75         83629.45           -16.37
78    2021-04-22          39783.75      0.00      0.00   39783.75         84189.75           -15.81
79    2021-04-23          39783.75      0.00      0.00   39783.75         83836.05           -16.16
80    2021-04-26          39783.75      0.00      0.00   39783.75         83908.25           -16.09
81    2021-04-27          39783.75      0.00      0.00   39783.75         84446.50           -15.55
82    2021-04-28          39783.75      0.00      0.00   39783.75         84412.20           -15.59
83    2021-04-29          39783.75      0.00      0.00   39783.75         85241.20           -14.76
84    2021-04-30          39783.75      0.00      0.00   39783.75         85362.70           -14.64
