======================================================================
  BACKTEST RESULTS REPORT
  Generated: 2026-02-22 14:22:11
======================================================================

[ CONFIGURATION ]
  Config Name       : momentum_config
  Start Date        : 2022-01-01
  End Date          : 2026-02-22
  Daily SL          : True
  Mid-Week Buy      : True
  Initial Capital   :      200,000.00
  Max Positions     : 15
  Min Position (%)  : 0.05
  Risk Threshold    : 1.0
  Buffer Percent    : 0.25
  Exit Threshold    : 40.0
  SL Multiplier     : 2.0
  ATR Fallback Pct   : 0.03
  Pyramiding        : ON
  Pyramid Fraction  : 0.5

[ PERFORMANCE METRICS ]
  Final Portfolio   :    3,208,152.01
  Total Return      :   +3,008,152.01  (+1504.08%)
  CAGR              :     +95.41%
  XIRR              :     +36.74%
  Max Drawdown      :      16.04%
  Sharpe Ratio      :       2.61
  Sortino Ratio     :       4.85
  Calmar Ratio      :       5.95

[ YEAR-ON-YEAR PERFORMANCE ]
  2022              :    +127.69%  (PnL:  +255,378.67 | End Val:   455,378.67)
  2023              :     +84.28%  (PnL:  +389,774.15 | End Val:   852,233.92)
  2024              :     +38.81%  (PnL:  +341,198.02 | End Val: 1,220,341.93)
  2025              :    +131.94%  (PnL: +1,612,609.98 | End Val: 2,834,850.44)
  2026              :     +13.37%  (PnL:  +378,454.02 | End Val: 3,208,152.01)

[ TRADE STATISTICS ]
  Total Buys        : 826
  Pyramid Buys      : 21
  Total Sells       : 789
  Win Rate          :      39.92%
  Profit Factor     :       1.53
  Expectancy/Trade  :   +1178.00
  Avg Holding Days  :       24.4
  Winners           : 315
  Losers            : 474
  Avg Win           :       +8,616.12
  Avg Loss          :       -3,749.16
  Best Trade        : CUPID +317,591.28
  Worst Trade       : MODINSU -17,337.60

[ TRANSACTION COSTS ]
  Total Buy Value   :   35,380,555.90
  Total Sell Value  :   36,317,530.81
  Total Turnover    :   71,698,086.71
  ---
  Buy Side Costs    :       42,205.11
  Sell Side Costs   :       48,132.23
  Total Costs       :       90,337.34
  ---
  Brokerage         :            0.00
  STT               :       71,698.17
  GST               :          458.22
  Stamp Duty        :        5,307.16
  Cost as % Return  :       3.00%

[ CAPITAL GAINS TAX ]
  STCG Trades       : 315
  STCG Gains        :    2,714,078.52
  STCG Tax (20%)    :      542,815.75
  ---
  LTCG Trades       : 0
  LTCG Gains        :            0.00
  LTCG Tax (12.5%)  :            0.00
  ---
  Total Tax         :      542,815.75
  Total Costs+Tax   :      633,153.09
  Net Post-Tax Ret  :   +2,374,998.92

[ TRADE LOG ]
  Symbol                      Entry         Exit    Entry ₹     Exit ₹  Units          PnL Reason
  DBREALTY               2022-01-31   2022-02-18      82.50     107.80    231    +5,844.30 close-based stoploss sell at open on 2022-02-18
  KOTHARIPET             2022-01-24   2022-02-18     102.65      84.55    127    -2,298.70 hard stoploss hit on 2022-02-18 (low=83.60)
  NAHARPOLY              2022-02-15   2022-02-21     409.00     407.00     25       -50.00 stoploss hit
  AGI                    2022-01-24   2022-02-22     321.00     284.46     57    -2,082.78 hard stoploss hit on 2022-02-22 (low=280.10)
  RHIM                   2022-02-21   2022-02-23     546.00     495.00     32    -1,632.00 close-based stoploss sell at open on 2022-02-23
  SWELECTES              2022-02-22   2022-02-23     297.15     288.24     48      -427.68 hard stoploss hit on 2022-02-23 (low=286.40)
  NDTV                   2022-02-21   2022-02-24     134.86     110.54     83    -2,018.56 hard stoploss hit on 2022-02-24 (low=107.16)
  CONSOFINVT             2022-02-21   2022-02-24     200.00     168.28     66    -2,093.52 hard stoploss hit on 2022-02-24 (low=165.00)
  BSE                    2022-02-23   2022-02-24     233.00     226.01     71      -496.29 hard stoploss hit on 2022-02-24 (low=206.50)
  RELINFRA-BE            2022-02-14   2022-02-25     120.60     104.00    102    -1,693.20 close-based stoploss sell at open on 2022-02-25
  E2E                    2022-01-03   2022-02-25      78.20     115.00    290   +10,672.00 close-based stoploss sell at open on 2022-02-25
  CIANAGRO               2022-01-31   2022-03-04      77.95      65.00    202    -2,615.90 close-based stoploss sell at open on 2022-03-04
  BALAJITELE             2022-02-24   2022-03-07      71.50      70.10    138      -193.20 stoploss hit
  CWD                    2022-02-28   2022-03-28      76.40     127.45    238   +12,149.90 score degraded to 0.0
  EXCELINDUS             2022-02-21   2022-03-29   1,209.00   1,390.71     14    +2,543.94 hard stoploss hit on 2022-03-29 (low=1390.00)
  NDTV                   2022-03-29   2022-03-30     183.44     177.94     77      -423.50 hard stoploss hit on 2022-03-30 (low=171.61)
  HINDALCO               2022-03-07   2022-04-01     586.75     569.90     39      -657.15 close-based stoploss sell at open on 2022-04-01
  BUTTERFLY              2022-02-28   2022-04-04   1,388.00   1,404.90     11      +185.90 swap: score 63.2 → LOTUSCHO (89.4)
  CHEMFAB                2022-04-04   2022-04-04     256.95     249.24     55      -424.05 hard stoploss hit on 2022-04-04 (low=241.65)
  SUNSHIEL               2022-04-04   2022-04-05     610.50     592.18     25      -458.00 hard stoploss hit on 2022-04-05 (low=562.30)
  PITTIENG               2022-04-05   2022-04-06     326.00     316.22     50      -489.00 hard stoploss hit on 2022-04-06 (low=312.90)
