======================================================================
  BACKTEST RESULTS REPORT
  Generated: 2026-02-21 14:15:51
======================================================================

[ CONFIGURATION ]
  Config Name       : momentum_config
  Start Date        : 2018-01-01
  End Date          : 2026-02-21
  Daily SL          : True
  Mid-Week Buy      : False
  Initial Capital   :      200,000.00
  Max Positions     : 15
  Risk Threshold    : 1.0
  Buffer Percent    : 0.25
  Exit Threshold    : 40.0
  SL Multiplier     : 2.0
  SL Step Percent   : 0.1
  ATR Fallback Pct   : 0.03

[ PERFORMANCE METRICS ]
  Final Portfolio   :    1,698,199.60
  Total Return      :   +1,498,199.60  (+749.10%)
  CAGR              :     +30.06%
  XIRR              :     +19.80%
  Max Drawdown      :      35.99%
  Sharpe Ratio      :       0.66
  Sortino Ratio     :       2.39
  Calmar Ratio      :       0.84

[ TRADE STATISTICS ]
  Total Trades      : 1567
  Win Rate          :      37.33%
  Profit Factor     :       1.40
  Expectancy/Trade  :    +544.54
  Avg Holding Days  :       25.1
  Winners           : 585
  Losers            : 982
  Avg Win           :       +5,158.79
  Avg Loss          :       -2,188.57
  Best Trade        : MIDWEST +231,315.70
  Worst Trade       : MODINSU -18,094.40

[ TRANSACTION COSTS ]
  Total Buy Value   :   39,241,195.68
  Total Sell Value  :   40,109,913.03
  Total Turnover    :   79,351,108.71
  ---
  Buy Side Costs    :       46,810.28
  Sell Side Costs   :       62,201.13
  Total Costs       :      109,011.41
  ---
  Brokerage         :            0.00
  STT               :       79,351.19
  GST               :          506.99
  Stamp Duty        :        5,886.19
  Cost as % Return  :       7.28%

[ CAPITAL GAINS TAX ]
  STCG Trades       : 585
  STCG Gains        :    3,017,893.48
  STCG Tax (20%)    :      603,578.68
  ---
  LTCG Trades       : 0
  LTCG Gains        :            0.00
  LTCG Tax (12.5%)  :            0.00
  ---
  Total Tax         :      603,578.68
  Total Costs+Tax   :      712,590.09
  Net Post-Tax Ret  :     +785,609.51

[ TRADE LOG ]
  Symbol                      Entry         Exit    Entry ₹     Exit ₹  Units          PnL Reason
  RPGLIFE                2019-11-11   2020-01-07     292.00     302.00     16      +160.00 close-based stoploss sell at open on 2020-01-07
  GODFRYPHLP             2019-11-18   2020-01-13     405.00     446.00     15      +615.00 swap: score 58.0 → ALKYLAMINE (88.4)
  BLISSGVS               2019-12-16   2020-01-13     153.00     149.20     52      -197.60 swap: score 63.9 → MCX (87.8)
  LTF                    2019-12-09   2020-01-13     105.30     114.40     73      +664.30 swap: score 65.0 → DIXON (86.4)
  ADANIGREEN             2019-12-09   2020-01-15     125.30     189.15     48    +3,064.80 close-based stoploss sell at open on 2020-01-15
  BFUTILITIE-BZ          2019-12-16   2020-01-20     340.00     352.35     16      +197.60 swap: score 51.2 → RAIN (82.7)
  ADANIENSOL             2019-12-09   2020-01-20     320.60     342.70     20      +442.00 swap: score 55.0 → AVADHSUGAR (82.6)
  TANLA                  2019-12-16   2020-01-20      69.90      66.00     88      -343.20 swap: score 56.8 → KNRCON (82.3)
  AVADHSUGAR             2020-01-20   2020-01-27     346.40     309.10     21      -783.30 stoploss hit
  RSYSTEMS               2019-12-23   2020-01-27      71.80      71.00     77       -61.60 swap: score 50.7 → INDOCO (86.8)
  EPL                    2019-12-02   2020-01-27     154.70     182.00     32      +873.60 swap: score 57.1 → INDIAGLYCO (84.7)
  LINCOLN                2020-01-06   2020-01-27     206.95     206.30     38       -24.70 swap: score 61.4 → GARFIBRES (83.9)
  MCX                    2020-01-13   2020-01-30     270.00     250.57     38      -738.34 hard stoploss hit on 2020-01-30 (low=246.00)
  RAIN                   2020-01-20   2020-01-30     125.05     110.22     60      -889.80 hard stoploss hit on 2020-01-30 (low=110.00)
  INDIAGLYCO             2020-01-27   2020-02-03     151.50     131.40     50    -1,005.00 stoploss hit
  DALMIASUG              2020-01-06   2020-02-03     124.75     105.75     53    -1,007.00 swap: score 68.2 → IGL (87.1)
  NAVINFLUOR             2019-12-23   2020-02-03     982.00   1,129.95     11    +1,627.45 swap: score 69.2 → RALLIS (86.9)
  NILE                   2020-01-20   2020-02-03     310.05     268.84     20      -824.20 hard stoploss hit on 2020-02-03 (low=268.00)
  RIIL                   2020-01-13   2020-02-03     434.00     385.21     13      -634.27 hard stoploss hit on 2020-02-03 (low=361.50)
  ARMANFIN               2019-12-23   2020-02-10     618.05     857.00     10    +2,389.50 swap: score 68.0 → ESCORTS (90.2)
  KNRCON                 2020-01-20   2020-02-11     149.25     138.75     63      -661.50 close-based stoploss sell at open on 2020-02-11
  IGL                    2020-02-03   2020-02-17     252.45     234.13     51      -934.32 hard stoploss hit on 2020-02-17 (low=233.00)
  GARFIBRES              2020-01-27   2020-02-24     306.95     277.20     28      -833.00 stoploss hit
  RALLIS                 2020-02-03   2020-02-24     228.00     242.50     34      +493.00 swap: score 73.0 → TRENT (93.6)
  DIXON                  2020-01-13   2020-02-24     846.00     842.47     11       -38.83 hard stoploss hit on 2020-02-24 (low=816.00)
  ORISSAMINE             2020-02-03   2020-02-25   1,769.90   2,066.17      3      +888.81 hard stoploss hit on 2020-02-25 (low=1950.00)
  ESCORTS                2020-02-10   2020-02-26     866.00     827.30     11      -425.70 close-based stoploss sell at open on 2020-02-26
  MIDHANI                2020-02-24   2020-02-27     228.80     198.58     27      -815.94 hard stoploss hit on 2020-02-27 (low=196.25)
  DHANUKA                2020-02-03   2020-02-27     501.50     461.71     11      -437.69 hard stoploss hit on 2020-02-27 (low=401.15)
  GUJGASLTD              2019-12-09   2020-02-27     228.50     275.01     42    +1,953.42 hard stoploss hit on 2020-02-27 (low=266.65)
  CANTABIL               2020-02-24   2020-02-28      69.40      61.17    103      -847.69 hard stoploss hit on 2020-02-28 (low=59.40)
  TRENT                  2020-02-24   2020-02-28     775.90     685.79      9      -810.99 hard stoploss hit on 2020-02-28 (low=680.00)
  INDOCO                 2020-01-27   2020-02-28     221.00     232.27     26      +293.02 hard stoploss hit on 2020-02-28 (low=222.55)
  ALKYLAMINE             2020-01-13   2020-02-28     504.05     592.70     19    +1,684.35 hard stoploss hit on 2020-02-28 (low=587.60)
  GMMPFAUDLR             2020-01-27   2020-02-28     833.35     963.15      8    +1,038.40 hard stoploss hit on 2020-02-28 (low=903.35)
  DMART                  2020-02-17   2020-02-28   2,354.50   2,217.22      3      -411.84 hard stoploss hit on 2020-02-28 (low=2180.00)
  POLYMED                2020-02-10   2020-02-28     327.90     280.31     17      -809.03 hard stoploss hit on 2020-02-28 (low=276.00)
  WOCKPHARMA             2020-02-03   2020-02-28     313.00     279.48     21      -703.92 hard stoploss hit on 2020-02-28 (low=276.55)
  CANTABIL               2020-03-02   2020-03-03      63.00      54.90    103      -834.30 hard stoploss hit on 2020-03-03 (low=49.00)
  SIRCA                  2020-02-10   2020-03-04     162.45     150.77     49      -572.32 hard stoploss hit on 2020-03-04 (low=150.40)
  IRCTC                  2020-03-02   2020-03-05     362.00     301.40     16      -969.60 close-based stoploss sell at open on 2020-03-05
  MIDHANI                2020-03-02   2020-03-06     267.00     225.60     19      -786.60 hard stoploss hit on 2020-03-06 (low=214.50)
  AUBANK                 2020-03-02   2020-03-06     582.25     516.09     13      -860.08 hard stoploss hit on 2020-03-06 (low=501.50)
  NAM-INDIA              2020-03-02   2020-03-06     408.00     357.97     17      -850.51 hard stoploss hit on 2020-03-06 (low=325.05)
  MSTCLTD                2020-03-02   2020-03-09     173.95     130.60     18      -780.30 stoploss hit
  MORGANITE              2020-03-02   2020-03-09     999.55     864.14      6      -812.46 hard stoploss hit on 2020-03-09 (low=855.00)
  SOLARA                 2020-03-02   2020-03-09     596.50     506.84      8      -717.28 hard stoploss hit on 2020-03-09 (low=500.40)
  ARMANFIN               2020-03-02   2020-03-09     977.00     813.29      4      -654.84 hard stoploss hit on 2020-03-09 (low=808.00)
  INDIAGLYCO             2020-03-02   2020-03-09     178.60     150.31     28      -792.12 hard stoploss hit on 2020-03-09 (low=137.00)
  DEEPAKNTR              2020-03-02   2020-03-12     483.00     448.08     13      -453.96 hard stoploss hit on 2020-03-12 (low=390.00)
  MIDHANI                2020-03-09   2020-03-12     228.00     180.56     14      -664.16 hard stoploss hit on 2020-03-12 (low=180.05)
  TRANSPEK               2020-03-09   2020-03-12   1,825.00   1,537.14      2      -575.72 hard stoploss hit on 2020-03-12 (low=1417.65)
  GRANULES               2020-03-09   2020-03-12     165.40     141.13     30      -728.10 hard stoploss hit on 2020-03-12 (low=141.10)
  MUTHOOTFIN             2020-03-02   2020-03-12     882.10     789.95      9      -829.35 hard stoploss hit on 2020-03-12 (low=750.00)
  ALKYLAMINE             2020-03-02   2020-03-12     612.90     533.85     10      -790.50 hard stoploss hit on 2020-03-12 (low=500.00)
  SANOFI                 2020-03-09   2020-03-13   6,769.70   6,051.35      1      -718.35 close-based stoploss sell at open on 2020-03-13
  SGRL                   2020-03-09   2020-03-13      75.00      65.51     81      -768.69 hard stoploss hit on 2020-03-13 (low=63.20)
  NAVINFLUOR             2020-03-02   2020-03-13   1,465.20   1,264.16      4      -804.16 hard stoploss hit on 2020-03-13 (low=1130.00)
  NAVINFLUOR             2020-03-16   2020-03-19   1,301.25   1,044.25      2      -514.00 hard stoploss hit on 2020-03-19 (low=990.00)
  AKZOINDIA              2020-03-16   2020-03-19   2,260.00   1,942.50      1      -317.50 hard stoploss hit on 2020-03-19 (low=1914.00)
  DEEPAKNTR              2020-03-16   2020-03-19     441.00     349.06      6      -551.64 hard stoploss hit on 2020-03-19 (low=310.00)
  IPCALAB                2020-03-09   2020-03-19     717.50     614.22      7      -722.96 hard stoploss hit on 2020-03-19 (low=600.00)
  INDOSTAR               2020-03-16   2020-03-19     273.10     251.85     38      -807.50 hard stoploss hit on 2020-03-19 (low=247.05)
  SUMICHEM               2020-03-16   2020-03-19     214.05     174.84     15      -588.15 hard stoploss hit on 2020-03-19 (low=169.00)
  METROPOLIS             2020-03-09   2020-03-19   1,735.00   1,467.44      2      -535.12 hard stoploss hit on 2020-03-19 (low=1457.45)
  COHANCE                2020-03-16   2020-03-23     276.75     222.47     10      -542.80 hard stoploss hit on 2020-03-23 (low=219.00)
  INDOSTAR               2020-03-23   2020-03-23     255.00     231.50     28      -658.00 hard stoploss hit on 2020-03-23 (low=225.05)
  DPABHUSHAN             2020-03-16   2020-03-24      58.05      54.00     88      -356.40 close-based stoploss sell at open on 2020-03-24
  TECHNVISN              2020-03-16   2020-03-30     209.00     209.00     33        +0.00 score degraded to 0.0
  SGRL                   2020-03-16   2020-03-30      63.20      53.55     63      -607.95 score degraded to 0.0
  ZYDUSLIFE              2020-03-30   2020-04-06     252.00     263.85     11      +130.35 score degraded to 37.6
  IPCALAB                2020-03-30   2020-04-06     622.50     706.70      3      +252.60 score degraded to 31.7
  PIXTRANS               2020-03-16   2020-04-06     990.00     970.00      8      -160.00 score degraded to 0.0
  SPECTRUM               2020-03-23   2020-04-06      53.00      53.00    130        +0.00 score degraded to 0.0
  ASALCBR                2020-03-23   2020-04-06     130.15     156.90      4      +107.00 swap: score 46.6 → POWERINDIA (74.9)
  GUJAPOLLO              2020-03-23   2020-04-06     117.25     119.15     16       +30.40 swap: score 54.1 → DPABHUSHAN (72.5)
  RSYSTEMS               2020-03-23   2020-04-13      84.95      82.00     25       -73.75 score degraded to 33.7
  DPABHUSHAN             2020-04-06   2020-04-13      60.75      57.05     58      -214.60 swap: score 72.5 → PGHL (94.0)
  SUMICHEM               2020-03-23   2020-04-13     171.00     216.00     13      +585.00 swap: score 74.2 → 3BBLACKBIO (93.9)
  POWERINDIA             2020-04-06   2020-04-13     798.80     800.00      9       +10.80 swap: score 74.9 → TORNTPHARM (93.7)
  SBICARD                2020-03-23   2020-04-13     659.00     547.91      5      -555.45 hard stoploss hit on 2020-04-13 (low=501.10)
  PATANJALI              2020-03-16   2020-04-20      33.60      93.30    264   +15,760.80 score degraded to 28.0
  ZSARACOM               2020-03-30   2020-04-27     141.95     188.30     57    +2,641.95 score degraded to 0.0
  COHANCE                2020-03-30   2020-04-27     100.70     139.00      8      +306.40 swap: score 58.9 → AUROPHARMA (88.5)
  ITI                    2020-04-20   2020-05-04      91.65      84.75     41      -282.90 score degraded to 33.3
  BASF                   2020-03-30   2020-05-04   1,072.35   1,030.00      2       -84.70 score degraded to 10.2
  AJANTPHARM             2020-04-06   2020-05-04     893.35     966.65      3      +219.90 swap: score 67.3 → BALAMINES (87.5)
  HINDUNILVR             2020-03-30   2020-05-04   2,123.00   2,130.00      1        +7.00 swap: score 67.8 → PFIZER (87.4)
  INDIACEM               2020-03-23   2020-05-04      90.00     101.10     30      +333.00 swap: score 69.4 → ALKYLAMINE (86.9)
  LAURUSLABS             2020-05-04   2020-05-08     102.40      87.78     53      -774.86 hard stoploss hit on 2020-05-08 (low=87.00)
  TORNTPHARM             2020-04-13   2020-05-11   1,275.50   1,227.50      2       -96.00 swap: score 68.9 → LAURUSLABS (88.0)
  PFIZER                 2020-05-04   2020-05-13   4,899.00   4,429.00      1      -470.00 close-based stoploss sell at open on 2020-05-13
  ZYDUSLIFE              2020-04-13   2020-05-18     364.90     332.50      9      -291.60 swap: score 71.0 → CIGNITITEC (90.7)
  ASTRAZEN               2020-05-11   2020-05-19   3,149.00   2,698.02      1      -450.98 hard stoploss hit on 2020-05-19 (low=2695.00)
  PATANJALI              2020-05-18   2020-05-20     235.60     215.73     47      -933.89 hard stoploss hit on 2020-05-20 (low=212.70)
  3BBLACKBIO             2020-04-13   2020-05-21     129.15     154.00     21      +521.85 close-based stoploss sell at open on 2020-05-21
  BIOCON                 2020-04-20   2020-05-25     359.90     355.00     15       -73.50 swap: score 64.6 → ADANIGREEN (93.3)
  IPCALAB                2020-04-13   2020-05-25     811.55     801.00      3       -31.65 swap: score 66.6 → DHANUKA (92.5)
  CIPLA                  2020-04-13   2020-05-25     605.00     616.70      6       +70.20 swap: score 69.0 → AARTIDRUGS (92.1)
  LAURUSLABS             2020-05-11   2020-05-25      88.60      91.30     48      +129.60 swap: score 70.0 → SYNGENE (91.8)
  DRREDDY                2020-04-06   2020-05-25     617.00     768.10      6      +906.60 swap: score 70.3 → BHARTIARTL (91.0)
  GMMPFAUDLR             2020-04-27   2020-05-26   1,213.35   1,137.44      3      -227.73 hard stoploss hit on 2020-05-26 (low=1101.85)
  PANACEABIO             2020-05-04   2020-06-08     122.90     129.15     30      +187.50 swap: score 61.8 → KSCL (85.8)
  BPLPHARMA              2020-06-01   2020-06-09     289.05     249.70     25      -983.75 close-based stoploss sell at open on 2020-06-09
  BALAMINES              2020-05-04   2020-06-15     392.25     400.00      9       +69.75 swap: score 49.9 → SHILPAMED (83.2)
  CIGNITITEC             2020-05-18   2020-06-15     318.95     292.80     16      -418.40 swap: score 51.7 → EIDPARRY (81.6)
  BHARTIARTL             2020-05-25   2020-06-15     586.00     545.75     12      -483.00 swap: score 60.1 → SESHAPAPER (81.4)
  LUPIN                  2020-04-20   2020-06-15     822.00     917.00      6      +570.00 swap: score 62.8 → BBOX (81.1)
  SYNGENE                2020-05-25   2020-06-22     360.00     379.50     18      +351.00 swap: score 58.6 → ALEMBICLTD (84.6)
  INDIACEM               2020-05-25   2020-06-22     127.00     131.00     43      +172.00 swap: score 59.7 → GRSE (84.3)
  ASTEC                  2020-05-25   2020-06-22     647.05     767.85      6      +724.80 swap: score 65.5 → JUBLPHARMA (84.1)
  SHILPAMED              2020-06-15   2020-06-29     276.50     238.00     20      -770.00 stoploss hit
  ADANIGREEN             2020-05-25   2020-06-29     237.00     378.17     33    +4,658.61 hard stoploss hit on 2020-06-29 (low=377.70)
  BBOX                   2020-06-15   2020-07-06      62.00      63.55     81      +125.55 swap: score 56.4 → BALAMINES (88.3)
  SESHAPAPER             2020-06-15   2020-07-06     178.00     155.35     25      -566.25 swap: score 58.5 → ASTRAMICRO (87.3)
  ALKYLAMINE             2020-05-04   2020-07-06     708.00     903.60      5      +978.00 swap: score 59.5 → RIIL (86.4)
  AUROPHARMA             2020-04-27   2020-07-06     630.00     777.85      6      +887.10 swap: score 63.0 → KIRIINDUS (84.8)
  GRSE                   2020-06-22   2020-07-16     201.70     192.57     28      -255.64 hard stoploss hit on 2020-07-16 (low=192.20)
  KSCL                   2020-06-08   2020-07-20     524.65     593.90     12      +831.00 swap: score 67.1 → SRHHYPOLTD (89.2)
  SRHHYPOLTD             2020-07-20   2020-07-24     169.90     147.27     37      -837.31 hard stoploss hit on 2020-07-24 (low=146.45)
  ASTRAMICRO             2020-07-06   2020-07-28     110.00     106.40     48      -172.80 close-based stoploss sell at open on 2020-07-28
  ADCINDIA               2020-07-20   2020-07-28     210.00     180.00     27      -810.00 close-based stoploss sell at open on 2020-07-28
  DIXON                  2020-07-27   2020-07-29   1,540.00   1,430.00      5      -550.00 close-based stoploss sell at open on 2020-07-29
  5PAISA                 2020-06-29   2020-07-29     233.00     388.55     18    +2,799.90 hard stoploss hit on 2020-07-29 (low=381.30)
  JINDALPOLY             2020-05-25   2020-08-03     288.00     376.00     17    +1,496.00 swap: score 62.0 → THYROCARE (90.3)
  ALEMBICLTD             2020-06-22   2020-08-10      81.65      89.45     57      +444.60 swap: score 53.4 → CAPLIPOINT (91.1)
  RIIL                   2020-07-06   2020-08-10     426.80     413.75     14      -182.70 swap: score 60.0 → PERMAGN (89.2)
  BDL                    2020-07-06   2020-08-10     192.10     228.50     31    +1,128.40 swap: score 70.6 → ABMKNO (89.1)
  EIDPARRY               2020-06-15   2020-08-10     222.60     299.40     23    +1,766.40 swap: score 70.8 → SMSPHARMA (88.6)
  DEEPAKFERT             2020-08-03   2020-08-11     166.45     149.80     46      -765.90 close-based stoploss sell at open on 2020-08-11
  CAPLIPOINT             2020-08-10   2020-08-12     600.00     509.79      9      -811.89 hard stoploss hit on 2020-08-12 (low=508.15)
  AARTIDRUGS             2020-05-25   2020-08-12     211.35     514.78     25    +7,585.75 hard stoploss hit on 2020-08-12 (low=510.25)
  KIRIINDUS              2020-07-06   2020-08-24     454.50     496.80     13      +549.90 swap: score 54.9 → AARTIDRUGS (84.3)
  DHANUKA                2020-05-25   2020-08-24     485.90     794.25     10    +3,083.50 swap: score 55.6 → KIOCL (83.6)
  AARTIDRUGS             2020-08-24   2020-08-27     812.50     703.93      9      -977.13 hard stoploss hit on 2020-08-27 (low=688.75)
  JUBLPHARMA             2020-06-22   2020-08-31     660.00     822.70      9    +1,464.30 swap: score 58.1 → SGRL (82.0)
  PERMAGN                2020-08-10   2020-08-31     140.00     123.10     34      -574.60 swap: score 58.8 → DLINKINDIA (81.6)
  DALMIASUG              2020-06-15   2020-08-31     102.00     130.50     47    +1,339.50 hard stoploss hit on 2020-08-31 (low=129.05)
  PERSISTENT             2020-08-03   2020-09-01     458.00     478.25     17      +344.25 close-based stoploss sell at open on 2020-09-01
  KIOCL                  2020-08-24   2020-09-01     152.50     138.95     46      -623.30 close-based stoploss sell at open on 2020-09-01
  WABAG                  2020-08-31   2020-09-01     210.20     177.20     30      -990.00 hard stoploss hit on 2020-09-01 (low=174.20)
  ZENTEC                 2020-08-17   2020-09-01      91.70      77.89     69      -952.89 hard stoploss hit on 2020-09-01 (low=74.65)
  SMSPHARMA              2020-08-10   2020-09-01      86.10      80.52     66      -368.28 hard stoploss hit on 2020-09-01 (low=79.10)
  DLINKINDIA             2020-08-31   2020-09-02     127.00     111.65     53      -813.55 close-based stoploss sell at open on 2020-09-02
  ORISSAMINE             2020-08-17   2020-09-02   2,696.00   2,364.00      2      -664.00 close-based stoploss sell at open on 2020-09-02
  THYROCARE              2020-08-03   2020-09-07     231.00     251.70     34      +703.80 swap: score 55.8 → THEJO (84.8)
  AXTEL                  2020-08-17   2020-09-21     236.65     236.00     32       -20.80 stoploss hit
  TMPV                   2020-09-07   2020-09-22     103.25      95.00     95      -783.75 close-based stoploss sell at open on 2020-09-22
  ICIL                   2020-09-21   2020-09-22     102.35      88.78     74    -1,004.18 hard stoploss hit on 2020-09-22 (low=86.10)
  MASTEK                 2020-08-03   2020-09-22     575.80     758.17      9    +1,641.33 hard stoploss hit on 2020-09-22 (low=752.65)
  LAURUSLABS             2020-08-03   2020-09-22     191.05     264.77     46    +3,391.12 hard stoploss hit on 2020-09-22 (low=260.25)
  BALAMINES              2020-07-06   2020-09-22     559.10     771.15     10    +2,120.50 hard stoploss hit on 2020-09-22 (low=741.65)
  ADANIGREEN             2020-09-07   2020-09-24     530.05     558.85     15      +432.00 close-based stoploss sell at open on 2020-09-24
  SGRL                   2020-08-31   2020-09-24      98.25      96.84     64       -90.24 hard stoploss hit on 2020-09-24 (low=96.00)
  ABMKNO                 2020-08-10   2020-09-28      79.35     111.00     63    +1,993.95 swap: score 70.5 → HCLTECH (93.4)
  ADANIENT               2020-09-07   2020-10-05     276.40     302.00     24      +614.40 swap: score 73.4 → SHRJAGP (93.0)
  AFFLE                  2020-09-07   2020-10-06     559.80     559.00     14       -11.20 close-based stoploss sell at open on 2020-10-06
  THEJO                  2020-09-07   2020-10-08     300.00     408.35     40    +4,334.00 close-based stoploss sell at open on 2020-10-08
  SHRJAGP                2020-10-05   2020-10-09     351.95     300.10     20    -1,037.00 close-based stoploss sell at open on 2020-10-09
  PRINCEPIPE             2020-09-07   2020-10-13     208.00     211.31     30       +99.30 hard stoploss hit on 2020-10-13 (low=210.00)
  SAKAR                  2020-10-12   2020-10-14      90.90      79.23    100    -1,167.00 hard stoploss hit on 2020-10-14 (low=77.10)
  JUBLFOOD               2020-09-07   2020-10-19     449.00     464.20     24      +364.80 swap: score 70.3 → EXPLEOSOL (93.1)
  FSL                    2020-09-28   2020-10-19      71.45      69.30    113      -242.95 swap: score 72.6 → TATAELXSI (93.0)
  CDSL                   2020-09-07   2020-10-19     233.75     227.50     31      -193.75 swap: score 74.1 → KOPRAN (92.8)
  PERSISTENT             2020-09-28   2020-10-19     612.50     572.80     14      -555.80 hard stoploss hit on 2020-10-19 (low=531.70)
  NUCLEUS                2020-09-28   2020-10-19     691.00     588.87     10    -1,021.30 hard stoploss hit on 2020-10-19 (low=585.00)
  KPITTECH               2020-09-28   2020-10-22     113.60     105.45     54      -440.10 hard stoploss hit on 2020-10-22 (low=104.20)
  INDIAMART              2020-09-07   2020-10-26   2,124.50   2,513.00      3    +1,165.50 swap: score 67.4 → ESTER (90.5)
  COFORGE                2020-10-19   2020-10-26     517.50     454.41     18    -1,135.62 hard stoploss hit on 2020-10-26 (low=436.50)
  ADVENZYMES             2020-10-12   2020-10-26     362.40     304.74     19    -1,095.54 hard stoploss hit on 2020-10-26 (low=302.05)
  HIMATSEIDE             2020-10-12   2020-10-29     128.90     122.25     51      -339.15 close-based stoploss sell at open on 2020-10-29
  EXPLEOSOL              2020-10-19   2020-10-29     582.00     522.01     13      -779.87 hard stoploss hit on 2020-10-29 (low=503.60)
  TATAELXSI              2020-10-19   2020-10-30   1,505.00   1,512.00      7       +49.00 close-based stoploss sell at open on 2020-10-30
  LAURUSLABS             2020-09-28   2020-11-03     271.00     305.00     27      +918.00 close-based stoploss sell at open on 2020-11-03
  DPABHUSHAN             2020-11-02   2020-11-03     127.00     113.70     89    -1,183.70 hard stoploss hit on 2020-11-03 (low=105.50)
  IGPL                   2020-09-28   2020-11-04     297.95     281.00     24      -406.80 close-based stoploss sell at open on 2020-11-04
  ICEMAKE                2020-11-02   2020-11-05      83.35      74.12    125    -1,153.75 hard stoploss hit on 2020-11-05 (low=73.70)
  HCLTECH                2020-09-28   2020-11-09     838.40     866.80     14      +397.60 swap: score 67.3 → NAVINFLUOR (91.2)
  VIDHIING               2020-09-28   2020-11-09     111.70     134.00     63    +1,404.90 swap: score 71.6 → BLUEDART (90.9)
  KOPRAN                 2020-10-19   2020-11-23     111.70     113.98     86      +196.08 hard stoploss hit on 2020-11-23 (low=113.00)
  LTIM                   2020-10-19   2020-11-30   3,090.35   3,115.35      2       +50.00 swap: score 49.6 → BEPL (85.3)
  SAGCEM                 2020-10-26   2020-11-30     149.00     142.00     55      -385.00 swap: score 56.2 → CAPACITE (84.8)
  JUSTDIAL               2020-10-26   2020-11-30     584.00     609.50     11      +280.50 swap: score 64.5 → WOCKPHARMA (84.3)
  BBOX                   2020-10-26   2020-12-07     107.95     123.00     69    +1,038.45 swap: score 43.1 → KIRLFER (84.4)
  SASTASUNDR             2020-11-09   2020-12-07     125.00     132.95     61      +484.95 swap: score 60.5 → KOVAI (82.1)
  BLUEDART               2020-11-09   2020-12-07   3,800.00   3,921.00      2      +242.00 swap: score 61.5 → TIRUMALCHM (82.1)
  ADANIGREEN             2020-11-09   2020-12-11     879.00     990.05     10    +1,110.50 close-based stoploss sell at open on 2020-12-11
  SAREGAMA               2020-11-02   2020-12-14      62.50      70.35    132    +1,036.20 swap: score 57.1 → OLECTRA (82.4)
  NAHARPOLY              2020-11-02   2020-12-14      81.45      86.00     72      +327.60 swap: score 57.4 → GNFC (82.0)
  NAVINFLUOR             2020-11-09   2020-12-14   2,550.00   2,534.00      4       -64.00 swap: score 58.5 → PRAJIND (82.0)
  ESTER                  2020-10-26   2020-12-14     119.90     126.50     64      +422.40 swap: score 60.9 → RELIGARE (80.2)
  KOVAI                  2020-12-07   2020-12-18   1,165.00   1,030.00      7      -945.00 close-based stoploss sell at open on 2020-12-18
  TIRUMALCHM             2020-12-07   2020-12-18     115.90     101.42     78    -1,129.44 hard stoploss hit on 2020-12-18 (low=99.50)
  APOLLOPIPE             2020-11-09   2020-12-21     199.95     224.80     48    +1,192.80 swap: score 55.7 → VIMTALABS (82.8)
  PRAJIND                2020-12-14   2020-12-21     113.60     100.08     88    -1,189.76 hard stoploss hit on 2020-12-21 (low=95.45)
  GNFC                   2020-12-14   2020-12-21     191.45     167.28     48    -1,160.16 hard stoploss hit on 2020-12-21 (low=158.80)
  KIRLFER                2020-12-07   2020-12-21     142.90     125.11     63    -1,120.77 hard stoploss hit on 2020-12-21 (low=118.25)
  CAPACITE               2020-11-30   2020-12-22     183.15     166.61     41      -678.14 hard stoploss hit on 2020-12-22 (low=153.55)
  WOCKPHARMA             2020-11-30   2020-12-22     409.10     414.21     21      +107.31 hard stoploss hit on 2020-12-22 (low=391.65)
  ATGL                   2020-11-09   2020-12-22     243.00     321.10     44    +3,436.40 hard stoploss hit on 2020-12-22 (low=315.00)
  ICEMAKE                2020-12-14   2020-12-28     106.00      99.85     84      -516.60 hard stoploss hit on 2020-12-28 (low=99.10)
  VIMTALABS              2020-12-21   2021-01-11      88.00      87.55    101       -45.45 swap: score 62.4 → ZUARIIND (88.9)
  ASHAPURMIN             2020-12-28   2021-01-13     103.20     119.10    103    +1,637.70 close-based stoploss sell at open on 2021-01-13
  ZUARIIND               2021-01-11   2021-01-15     122.80     104.50     57    -1,043.10 close-based stoploss sell at open on 2021-01-15
  RELIGARE               2020-12-14   2021-01-18      69.65      65.30    106      -461.10 swap: score 48.9 → FACT (87.1)
  RESPONIND              2020-11-02   2021-01-18     146.90     187.00     46    +1,844.60 swap: score 53.4 → INDIAMART (86.4)
  EMAMIPAP               2020-12-28   2021-01-18     104.90     102.00     56      -162.40 swap: score 67.9 → GNA (86.3)
  SHRJAGP                2021-01-04   2021-01-19     566.00     557.45     16      -136.80 close-based stoploss sell at open on 2021-01-19
  BORORENEW              2020-12-28   2021-01-20     235.00     240.24     28      +146.72 hard stoploss hit on 2021-01-20 (low=236.30)
  TVSHLTD                2020-12-21   2021-01-25   1,431.55   1,755.00      5    +1,617.25 swap: score 55.0 → JBMA (88.5)
  ACE                    2020-11-30   2021-01-25     102.00     131.55     72    +2,127.60 swap: score 62.6 → GULPOLY (88.2)
  BEML                   2020-12-28   2021-01-25     498.40     469.00     18      -529.20 swap: score 65.3 → JKTYRE (87.6)
  DATAMATICS             2020-12-28   2021-01-25     116.00     114.80     57       -68.40 swap: score 65.4 → STEL (87.5)
